name	kind	query	description	comment	url	source
penicillin	SMILES	N12C(SCC1)CC2=O	""	unchecked	""	PDBe
peptide	SMILES	O=CCN	""	unchecked	""	PDBe
phenanthrene	SMILES	c1ccc2c(c1)ccc1c2cccc1	""	unchecked	""	PDBe
phenanthridine	SMILES	c1ccc2c(c1)ncc1c2cccc1	""	unchecked	""	PDBe
phenanthroline	SMILES	c1cnc2c(c1)ccc1c2nccc1	""	unchecked	""	PDBe
phenazine	SMILES	c1ccc2c(c1)nc1c(n2)cccc1	""	unchecked	""	PDBe
phenothiazine	SMILES	c1ccc2c(c1)Nc1c(S2)cccc1	""	unchecked	""	PDBe
phenyl	SMILES	c1ccccc1	""	unchecked	""	PDBe
phosphate	SMILES	OP(=O)(O)O	"phosphate group"	unchecked	https://en.wikipedia.org/wiki/Phosphate	PDBe
phthalazine	SMILES	c1cc2c(cc1)cnnc2	""	unchecked	""	PDBe
piperazine	SMILES	N1CCNCC1	""	unchecked	""	PDBe
porphin	SMILES	c1cc2=Cc3[nH]c(cc3)C=c3[nH]c(=Cc4[nH]c(C=c1[nH]2)cc4)cc3	"The central ring in a prophyrin, for example heme."	unchecked	https://en.wikipedia.org/wiki/Porphin	PDBe
porphin-like	LIKE	c1cc2=Cc3[nH]c(cc3)C=c3[nH]c(=Cc4[nH]c(C=c1[nH]2)cc4)cc3	"prophyrin/heme connectivity regardless of bond order."	unchecked	https://en.wikipedia.org/wiki/Porphin	PDBe
prosto	SMILES	C1=CC(C(=C1O)CCCC)CCCC	""	unchecked 	""	PDBe
pteridine	SMILES	c1nc2c(nc1)ncnc2	""	unchecked	""	PDBe
pteroyl	SMILES	c1(nc(c2c(n1)nccn2)O)N	""	unchecked	""	PDBe
purine	SMILES	[nH]1cnc2c1cncn2	"A purine is a heterocyclic aromatic organic compound that consists of a pyrimidine ring fused to an imidazole ring."	unchecked	"https://en.wikipedia.org/wiki/Purine"	PDBe
pyran	SMILES	C1=COC=CC1	""	unchecked	""	PDBe
pyranose	SMILES	C1COC(CC1)O	""	unchecked	""	PDBe
pyrazine	SMILES	c1cnccn1	""	unchecked	""	PDBe
pyrazole	SMILES	c1cc[nH]n1	""	unchecked	""	PDBe
pyridazine	SMILES	c1cnncc1	""	unchecked	""	PDBe
pyridine	SMILES	c1ccccn1	""	unchecked	""	PDBe
pyrimidine	SMILES	c1cncnc1	"Pyrimidine is an aromatic heterocyclic organic compound similar to pyridine."	unchecked	https://en.wikipedia.org/wiki/Pyrimidine	PDBe
1-pyrroline	SMILES	C1N=CCC1	""	unchecked	""	PDBe
2-pyrroline	SMILES	C1CC=CN1	""	unchecked	""	PDBe
3-pyrroline	SMILES	C1NCC=C1	""	unchecked	""	PDBe
pyrrole	SMILES	c1ccc[nH]1	"Pyrrole is a heterocyclic aromatic organic compound, a five-membered ring with the formula C4H4NH."	unchecked	https://en.wikipedia.org/wiki/Pyrrole	PDBe
quinazoline	SMILES	c1ccc2c(c1)cncn2	""	unchecked	""	PDBe
quinoline	SMILES	c1cc2c(cc1)nccc2	""	unchecked	""	PDBe
quinoxaline	SMILES	c1ccc2c(c1)nccn2	""	unchecked	""	PDBe
rauwolfia	SMILES	c1ccc2c(c1)c1c(n2)c2n(cc1)cc1c(c2)cccc1	""	unchecked	""	PDBe
ribose	SMILES	C1(C(C(OC1)CO)O)O	"Will match any furanose sugar, regardless of chirality."	unchecked	https://en.wikipedia.org/wiki/Ribose	PDBe
steroid-like	LIKE	C1CCC2C(C1)C1C(CC2)C2C(CC1)CCC2	"steroid ring connectivity"	checked	""	PDBe
succinimide	SMILES	C1C(=O)NC(=O)C1	""	unchecked	""	PDBe
thiadiazole	SMILES	c1nncs1	""	unchecked	""	PDBe
thiazole	SMILES	c1cncs1	""	unchecked	""	PDBe
thiepin	SMILES	C1=CSC=CC=C1	""	unchecked	""	PDBe
thiophen	SMILES	c1cccs1	""	unchecked	""	PDBe
tocol	SMILES	c1ccc2c(c1)CCCO2	""	unchecked	""	PDBe
vitaminAcore	SMILES	C1=CCCC(=C1)C=CC=CC=CC=C	""	unchecked	""	PDBe
xanthen	SMILES	c1ccc2c(c1)Cc1c(O2)cccc1	""	unchecked	""	PDBe
Z1171466485	SMILES	CC(N1CCSCC1)C=2C=CN=CC2	""	"ENAMINE library"	""	ENAMINE
Z596083816	SMILES	O=C(N1CCCCCC1)C=2C=NSN2	""	"ENAMINE library"	""	ENAMINE
Z1289663256	SMILES	CSC1CCC(C1)N(C)CC(F)F	""	"ENAMINE library"	""	ENAMINE
Z54847029	SMILES	CN(C)C(=O)CN1CCCC(C1)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z351703956	SMILES	CC(C)N1CCN(CC1)C(=O)C=2C=C(C)ON2	""	"ENAMINE library"	""	ENAMINE
Z1270341475	SMILES	CC=1C=CC(NCC2=CN=CN2C)=C(Cl)C1	""	"ENAMINE library"	""	ENAMINE
Z285681766	SMILES	CC=1C=C(SC2=NC=CN2C)N=C(C)N1	""	"ENAMINE library"	""	ENAMINE
Z374255594	SMILES	CC1=CC(CSC2=NC(C)=C(C)O2)=NO1	""	"ENAMINE library"	""	ENAMINE
Z1148923836	SMILES	CCS(=O)(=O)N(C)CC=1C=CC(F)=CC1Cl	""	"ENAMINE library"	""	ENAMINE
Z1040839850	SMILES	CC1CCCN(C1)C(=O)NCC2=CN3CCCCC3=N2	""	"ENAMINE library"	""	ENAMINE
Z650353014	SMILES	CC1=NN=C(CN2CCCC2C=3C=CC=C(Cl)C3)N1C	""	"ENAMINE library"	""	ENAMINE
Z1227895928	SMILES	CC(C)N(C(=O)C1CCOC1)C=2C=CC(F)=CC2Cl	""	"ENAMINE library"	""	ENAMINE
Z1098875885	SMILES	CN(C)S(=O)(=O)C1=CC=C(CN2CCCC2(C)C)O1	""	"ENAMINE library"	""	ENAMINE
Z1212004944	SMILES	CC(C(=O)N1CCCCC1C2=NC=CS2)N3C=CC=N3	""	"ENAMINE library"	""	ENAMINE
Z212242116	SMILES	CCC1=NN=C(CN2CCCCC2C)O1	""	"ENAMINE library"	""	ENAMINE
Z368565454	SMILES	CC1COCCN1C=2C=CC=C(F)C2C(=O)C	""	"ENAMINE library"	""	ENAMINE
Z141621850	SMILES	ClC=1SN=NC1CN2CCCC2C3=CC=CS3	""	"ENAMINE library"	""	ENAMINE
Z291482950	SMILES	CC(SC=1C=CC=CC1F)C2=NC(C)=NO2	""	"ENAMINE library"	""	ENAMINE
Z147646804	SMILES	OC(=O)CSC1CCCC1	""	"ENAMINE library"	""	ENAMINE
Z104484390	SMILES	COC(=O)C(F)(OC)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z228457822	SMILES	NC=1C=CC=CC1SCC(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z1187786372	SMILES	C=1C=CC(=NC1)C=2C=CC=NC2	""	"ENAMINE library"	""	ENAMINE
Z1217227026	SMILES	CC1CC(CN1)C=2C=CSC2	""	"ENAMINE library"	""	ENAMINE
Z1171159997	SMILES	CCSC1(CN)CCOCC1	""	"ENAMINE library"	""	ENAMINE
Z104474290	SMILES	COC(=O)CC1=CC=CN1C	""	"ENAMINE library"	""	ENAMINE
Z159528162	SMILES	CNC(C)C=1C=CC=C(Cl)C1	""	"ENAMINE library"	""	ENAMINE
Z169506470	SMILES	C(OC1CCNCC1)C=2C=CC=CC2	""	"ENAMINE library"	""	ENAMINE
Z147646926	SMILES	CN(C)C1(CN)CCCCCC1	""	"ENAMINE library"	""	ENAMINE
Z220358230	SMILES	CC(=O)C=1C(C)=CC(C)=NC1C	""	"ENAMINE library"	""	ENAMINE
Z361940344	SMILES	CN(CC=1C=C(C)ON1)C(=O)C=2C=CC(Cl)=CC2Cl	""	"ENAMINE library"	""	ENAMINE
Z240529270	SMILES	CN(CC=1C=NN(C)C1)C(=O)C2=CC=C(C)S2	""	"ENAMINE library"	""	ENAMINE
Z291278562	SMILES	NC1CC[C@H]2CN(CC=3C=CC=CC3)C[C@H]2C1	""	"ENAMINE library"	""	ENAMINE
Z511587202	SMILES	CC=1C=C(ON1)C(=O)N2CCOC3CCCCC32	""	"ENAMINE library"	""	ENAMINE
Z51813722	SMILES	CC1(CC=2C=CC=CC2C(=O)O1)C(=O)N3CCCCC3	""	"ENAMINE library"	""	ENAMINE
Z846271178	SMILES	CC(C)C1CCCN1C(=O)C=2C=NN3C=CC=NC23	""	"ENAMINE library"	""	ENAMINE
Z1277620446	SMILES	CCN(C)C=1C=CC=C(NC(=O)N2CC3CC=CCC3C2)C1	""	"ENAMINE library"	""	ENAMINE
Z314446484	SMILES	CCN(C1CC1)C(=O)C=2C=CC=C(C2)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z165380164	SMILES	CC1=NC(CSC2CCCC2)=NO1	""	"ENAMINE library"	""	ENAMINE
Z279897750	SMILES	CC(C1CC1)N(C)S(=O)(=O)C	""	"ENAMINE library"	""	ENAMINE
Z1065906632	SMILES	CC1=NOC(C)=C1NCC=2C=CC=C(F)C2	""	"ENAMINE library"	""	ENAMINE
Z900337452	SMILES	FC=1C=CC=C(CN2CCN(CC2)C3CC3)C1	""	"ENAMINE library"	""	ENAMINE
Z1139331311	SMILES	CN1CCCC1C2CCCN2C(=O)CC3CCCO3	""	"ENAMINE library"	""	ENAMINE
Z343745526	SMILES	CSCCC(=O)N1CC(C)OCC1C	""	"ENAMINE library"	""	ENAMINE
Z1013740564	SMILES	CNC(C)C(C)S(=O)(=O)C	""	"ENAMINE library"	""	ENAMINE
Z1259340319	SMILES	CC(N)CCC1=CC=CN1C	""	"ENAMINE library"	""	ENAMINE
Z907824078	SMILES	CN1C=C(CC(=O)N2CCOC3CCCC32)C=4C=CC=CC14	""	"ENAMINE library"	""	ENAMINE
Z53111048	SMILES	C(CC=1C=CN=CC1)N2CCCCCCC2	""	"ENAMINE library"	""	ENAMINE
Z1266852599	SMILES	CC=1N=C2C(N)CCCN2N1	""	"ENAMINE library"	""	ENAMINE
Z381677928	SMILES	CC1=CC=C(S1)C(CN)N2CCOCC2	""	"ENAMINE library"	""	ENAMINE
Z408748836	SMILES	CC(C)C1=NC(C)=C(S1)C(=O)N2CCOC(C)(C)C2	""	"ENAMINE library"	""	ENAMINE
Z987515108	SMILES	CN1C=C(CN2CCCN(CC2)C(=O)C=3C=COC3)C=N1	""	"ENAMINE library"	""	ENAMINE
Z1102953727	SMILES	CN1C=C(C=N1)C2CCCN2C(=O)C3=CSC=N3	""	"ENAMINE library"	""	ENAMINE
Z756099216	SMILES	CNC(C)C=1C=CC=C(C1)C=2C=CN=CC2	""	"ENAMINE library"	""	ENAMINE
Z513795958	SMILES	CC=1C=CC(CC(N)C=2C=CC=CN2)=CC1	""	"ENAMINE library"	""	ENAMINE
Z57932525	SMILES	OC(=O)CSC(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z1255403943	SMILES	COC(=O)C1CCNC=2C=CC=CC12	""	"ENAMINE library"	""	ENAMINE
Z147652246	SMILES	Cl.COC(=O)CC(C)N	""	"ENAMINE library"	""	ENAMINE
Z802590376	SMILES	CNC(C)C=1SC(=NC1C)C(C)C	""	"ENAMINE library"	""	ENAMINE
Z1218341613	SMILES	C(N1CCCCC1C2=CC=CO2)C=3C=CC=CN3	""	"ENAMINE library"	""	ENAMINE
Z1146813499	SMILES	ClC=1C=CC=CC1C(=O)OC2CCOC2	""	"ENAMINE library"	""	ENAMINE
Z1139316293	SMILES	CC=1C=C(C)N(CC2CCCCN2C(=O)C3CCOC3)N1	""	"ENAMINE library"	""	ENAMINE
Z729029012	SMILES	CN(CC=1C(F)=CC=CC1Cl)C(=O)C=2C=CN=C(C)N2	""	"ENAMINE library"	""	ENAMINE
Z1289784769	SMILES	CC(C)C1CN(CC(C)(C)O)CCS1	""	"ENAMINE library"	""	ENAMINE
Z317054194	SMILES	CN(C)C1=NC=C(CN)N1C	""	"ENAMINE library"	""	ENAMINE
Z266463772	SMILES	CC1=NOC(CNC=2C=CC=CC2)=N1	""	"ENAMINE library"	""	ENAMINE
Z316258722	SMILES	OC(=O)COC1CCCCC1	""	"ENAMINE library"	""	ENAMINE
Z972225978	SMILES	CC(C)N(C)C(=O)C1CSCN1C(=O)C=2C=CN=CC2	""	"ENAMINE library"	""	ENAMINE
Z337709402	SMILES	CNCC1OCCC=2C=CC=CC12	""	"ENAMINE library"	""	ENAMINE
Z20241764	SMILES	CC1CCCCN1C(=O)CSC2=NN=C3C=CC=CN23	""	"ENAMINE library"	""	ENAMINE
Z1233172467	SMILES	CN1C(C(CO)CC1=O)C2=CC=CS2	""	"ENAMINE library"	""	ENAMINE
Z53825214	SMILES	CCS(=O)(=O)NCC=1C=CC=NC1	""	"ENAMINE library"	""	ENAMINE
Z54078455	SMILES	CS(=O)(=O)NCC1CCCO1	""	"ENAMINE library"	""	ENAMINE
Z90913382	SMILES	CN(CC=1C(F)=CC=CC1Cl)C(=O)C2=CC(C)=NO2	""	"ENAMINE library"	""	ENAMINE
Z1142782918	SMILES	CC=1C=C(CN2CC(C2)N3N=C(C)C=C3C)ON1	""	"ENAMINE library"	""	ENAMINE
Z1143363482	SMILES	CC=1N=CN(CC2=NC=C(O2)C(C)(C)C)C1C	""	"ENAMINE library"	""	ENAMINE
Z425188196	SMILES	COC=1C=CC=C(C1)C(=O)N2CCCC2C3=CC(C)=NO3	""	"ENAMINE library"	""	ENAMINE
Z733308538	SMILES	CN(C)CCN1C=C(Br)C=N1	""	"ENAMINE library"	""	ENAMINE
Z1013040158	SMILES	CCN1C=CN=C1CN2CCCNCC2	""	"ENAMINE library"	""	ENAMINE
Z44048013	SMILES	COCC(=O)N1CCSC=2C=CC=CC12	""	"ENAMINE library"	""	ENAMINE
Z228586242	SMILES	CC(O)C=1C=C(C)C=CC1OC(F)F	""	"ENAMINE library"	""	ENAMINE
Z237754566	SMILES	CCNS(=O)(=O)N(CC)CC	""	"ENAMINE library"	""	ENAMINE
Z385404236	SMILES	CC1=C(N)N(N=C1C2CC2)C=3C=CC=CC3	""	"ENAMINE library"	""	ENAMINE
Z317027126	SMILES	NCC1CCN(CC(F)(F)F)C1	""	"ENAMINE library"	""	ENAMINE
Z317269002	SMILES	C(OC1CCNCC1)C2CCCCO2	""	"ENAMINE library"	""	ENAMINE
Z803085908	SMILES	NC(C1=NC=CS1)C=2C=CC=CC2	""	"ENAMINE library"	""	ENAMINE
Z808608370	SMILES	COC=1C=CC(Br)=CN1	""	"ENAMINE library"	""	ENAMINE
Z992949496	SMILES	OC1CCCC1C=2C=CC=C(Cl)C2	""	"ENAMINE library"	""	ENAMINE
Z992732292	SMILES	CNCC1=NC(=CS1)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z821124870	SMILES	CC1=NC=C(CN2CCNCC2)S1	""	"ENAMINE library"	""	ENAMINE
Z361907534	SMILES	COC=1C(C)=CN=C(CN(C)C)C1C	""	"ENAMINE library"	""	ENAMINE
Z838950422	SMILES	OC(C=1C=C(Br)C=CC1F)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z1359386025	SMILES	NC1CCOC2(CCSCC2)C1	""	"ENAMINE library"	""	ENAMINE
Z992424146	SMILES	NCC=1C=CC(F)=C(Cl)C1	""	"ENAMINE library"	""	ENAMINE
Z90542392	SMILES	FC(F)(F)CNC1CCCC1	""	"ENAMINE library"	""	ENAMINE
Z543594364	SMILES	CN1C=C(CCNC(=O)N2CCSCC2)C=N1	""	"ENAMINE library"	""	ENAMINE
Z1271332925	SMILES	CC=1C=CC(C2CN(CCO2)S(=O)(=O)C)=C(C)C1	""	"ENAMINE library"	""	ENAMINE
Z1138834280	SMILES	CN1C=CN=C1CC2CCNCC2	""	"ENAMINE library"	""	ENAMINE
Z27006350	SMILES	CN(CC=1C=CC=NC1)C(=O)C=2C=CC=3N=CSC3C2	""	"ENAMINE library"	""	ENAMINE
Z1256072451	SMILES	CC(C)CN1CCN(CC1)C(=O)C=2C=CN=CC2F	""	"ENAMINE library"	""	ENAMINE
Z168827500	SMILES	OC=1C=CC=2OCCOC2C1	""	"ENAMINE library"	""	ENAMINE
Z362636152	SMILES	OCC1=CC(Br)=CS1	""	"ENAMINE library"	""	ENAMINE
Z54472195	SMILES	FC=1C=CC=C(OCC#C)C1	""	"ENAMINE library"	""	ENAMINE
Z976741750	SMILES	Cl.CSCC1CCNC1	""	"ENAMINE library"	""	ENAMINE
Z1198725007	SMILES	OCC1CC=2C=C(F)C=CC2O1	""	"ENAMINE library"	""	ENAMINE
Z104477350	SMILES	CC(=O)C=1C=CC=C(Cl)C1	""	"ENAMINE library"	""	ENAMINE
Z992922238	SMILES	COC(=O)C1=CCN(C)CC1	""	"ENAMINE library"	""	ENAMINE
Z600446400	SMILES	CC(C)SCC=1C=CC=C(N)C1	""	"ENAMINE library"	""	ENAMINE
Z1142681983	SMILES	Cl.OCCCC1=CNC=N1	""	"ENAMINE library"	""	ENAMINE
Z381268116	SMILES	NC1=CC(=NO1)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z90504514	SMILES	CN1CCC(CC1)NCCO	""	"ENAMINE library"	""	ENAMINE
Z1013768348	SMILES	CC(=O)C=1C=NC(C)=NC1C	""	"ENAMINE library"	""	ENAMINE
Z992966844	SMILES	O=C(CC1CCCCC1)C=2N=CC=CN2	""	"ENAMINE library"	""	ENAMINE
Z104479788	SMILES	CC(O)C=1C=CC(Cl)=CC1	""	"ENAMINE library"	""	ENAMINE
Z637343960	SMILES	C(NC1CCCCC1)C=2C=COC2	""	"ENAMINE library"	""	ENAMINE
Z994267504	SMILES	CNCCC1=NC=C(C)S1	""	"ENAMINE library"	""	ENAMINE
Z1493816383	SMILES	CC(N)C1COC=2C=CC=CC12	""	"ENAMINE library"	""	ENAMINE
Z1295581261	SMILES	OC(C1CCCO1)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z803083276	SMILES	CC1=CSC(=N1)C(N)C2CC2	""	"ENAMINE library"	""	ENAMINE
Z1037338642	SMILES	NC(C1CCOCC1)C=2C=CC=CC2	""	"ENAMINE library"	""	ENAMINE
Z607750392	SMILES	CN1N=CC=C1C2CCCNC2	""	"ENAMINE library"	""	ENAMINE
Z412037466	SMILES	CSC=1C(N)=CC=CC1Cl	""	"ENAMINE library"	""	ENAMINE
Z1259341148	SMILES	CN1CC2CNCC2C1C=3C=CC=CC3	""	"ENAMINE library"	""	ENAMINE
Z803153234	SMILES	CC1=NN(C)C=2N=CC(CN)=CC12	""	"ENAMINE library"	""	ENAMINE
Z992718696	SMILES	CC(C)C1=CSC(=N1)C2CCCNC2	""	"ENAMINE library"	""	ENAMINE
Z839498422	SMILES	CC=1C=C(C)N(CC2CCCCN2)N1	""	"ENAMINE library"	""	ENAMINE
Z992718990	SMILES	Cl.Cl.CC(C)C1=CSC(=N1)C2CCNCC2	""	"ENAMINE library"	""	ENAMINE
Z54462534	SMILES	CCC(=O)C=1C=CC=CC1OC	""	"ENAMINE library"	""	ENAMINE
Z381006388	SMILES	CC(=O)C=1SC=CC1Br	""	"ENAMINE library"	""	ENAMINE
Z259727378	SMILES	FC=1C=C(F)C=2CCCNC2C1	""	"ENAMINE library"	""	ENAMINE
Z362022096	SMILES	CN(C)C=1C=CC=C(Cl)C1CO	""	"ENAMINE library"	""	ENAMINE
Z293099934	SMILES	CCOC(=O)C=1C(C)=CC(=O)OC1C	""	"ENAMINE library"	""	ENAMINE
Z270834632	SMILES	CN(C)C(CN)C=1C=CC=NC1	""	"ENAMINE library"	""	ENAMINE
Z1227757598	SMILES	CN1C=C(CC2CCNC2)C=N1	""	"ENAMINE library"	""	ENAMINE
Z431952782	SMILES	CC(C)(C)C1=CN=C(CO)O1	""	"ENAMINE library"	""	ENAMINE
Z732207426	SMILES	CSCCC=1C=CC(N)=CC1	""	"ENAMINE library"	""	ENAMINE
Z271013048	SMILES	COCC(N)C1=CC=C(C)O1	""	"ENAMINE library"	""	ENAMINE
Z1262687677	SMILES	NC1CCOC1C=2C=CC=CC2	""	"ENAMINE library"	""	ENAMINE
Z1154639631	SMILES	CC1=NN(C)C(C)=C1C(=O)C(F)(F)F	""	"ENAMINE library"	""	ENAMINE
Z1090112882	SMILES	Cl.CN(C)C(=O)COC1CNC1	""	"ENAMINE library"	""	ENAMINE
Z1138834350	SMILES	C(C1CNCCO1)N2C=CC=N2	""	"ENAMINE library"	""	ENAMINE
Z1201621264	SMILES	CC=1C=NC=CC1Br	""	"ENAMINE library"	""	ENAMINE
Z337709426	SMILES	CN1C=C(Br)C=N1	""	"ENAMINE library"	""	ENAMINE
Z994289008	SMILES	CCC1=CN=C(CNC)S1	""	"ENAMINE library"	""	ENAMINE
Z803101404	SMILES	CC(C(=O)O)C1=CC=C(Cl)S1	""	"ENAMINE library"	""	ENAMINE
Z1095213938	SMILES	COC=1C=CC=C2CC(N)COC12	""	"ENAMINE library"	""	ENAMINE
Z165764500	SMILES	CC1=CSC(SCC2=NOC(C)=N2)=N1	""	"ENAMINE library"	""	ENAMINE
Z828632066	SMILES	CC(C(=O)N1CC(C)OC(C1)C=2C=CC=CC2)N3C=CN=C3	""	"ENAMINE library"	""	ENAMINE
Z406440680	SMILES	CCN1CCN(CC1)C(=O)C(C)SC	""	"ENAMINE library"	""	ENAMINE
Z112829406	SMILES	CC(SC1=NN=C(C)S1)C(=O)N2CCCCCC2	""	"ENAMINE library"	""	ENAMINE
Z270760514	SMILES	Cl.CN(C)C(=O)CCN	""	"ENAMINE library"	""	ENAMINE
Z56822813	SMILES	NC=1C=CC=CC1OC(F)F	""	"ENAMINE library"	""	ENAMINE
Z164835302	SMILES	CN1N=C(CCC1=O)C(=O)N2CCCC2C3=CC=CS3	""	"ENAMINE library"	""	ENAMINE
Z240141716	SMILES	CC=1C=C2N=CC(C(=O)N3CCCC3)=C(C)N2N1	""	"ENAMINE library"	""	ENAMINE
Z237676282	SMILES	CC1=NOC(CSC=2C=CC=CN2)=N1	""	"ENAMINE library"	""	ENAMINE
Z856472178	SMILES	CC1CN(CC(C)(C)O1)C(=O)C2=CC=C(Cl)O2	""	"ENAMINE library"	""	ENAMINE
Z90122410	SMILES	CC(=O)C=1C=C(C)SC1C	""	"ENAMINE library"	""	ENAMINE
Z1502853563	SMILES	NC1C2CCOC2C31CCC3	""	"ENAMINE library"	""	ENAMINE
Z385420818	SMILES	O=C(C1CCCC1)C2=CC=CS2	""	"ENAMINE library"	""	ENAMINE
Z1359426866	SMILES	CCC1CN(C)C=2C=CC=CC2CN1	""	"ENAMINE library"	""	ENAMINE
Z979724158	SMILES	CC1(CNCCO1)C=2C=CC=CC2	""	"ENAMINE library"	""	ENAMINE
Z1407619616	SMILES	C1NC2(CCCCC12)C=3C=CC=CC3	""	"ENAMINE library"	""	ENAMINE
Z1138843232	SMILES	CCC(O)(CC)C1CCOC1	""	"ENAMINE library"	""	ENAMINE
